ID ,Class 
1,   abseiling      
2,   air drumming      
3,   answering questions      
4,   applauding      
5,   applying cream      
6,   archery      
7,   arm wrestling      
8,   arranging flowers      
9,   assembling computer      
10,   auctioning      
11,   baby waking up      
12,   baking cookies      
13,   balloon blowing      
14,   bandaging      
15,   barbequing      
16,   bartending      
17,   beatboxing      
18,   bee keeping      
19,   belly dancing      
20,   bench pressing      
21,   bending back      
22,   bending metal      
23,   biking through snow      
24,   blasting sand      
25,   blowing glass      
26,   blowing leaves      
27,   blowing nose      
28,   blowing out candles      
29,   bobsledding      
30,   bookbinding      
31,   bouncing on trampoline      
32,   bowling      
33,   braiding hair      
34,   breading or breadcrumbing      
35,   breakdancing      
36,   brush painting      
37,   brushing hair      
38,   brushing teeth      
39,   building cabinet      
40,   building shed      
41,   bungee jumping      
42,   busking      
43,   canoeing or kayaking      
44,   capoeira      
45,   carrying baby      
46,   cartwheeling      
47,   carving pumpkin      
48,   catching fish      
49,   catching or throwing baseball      
50,   catching or throwing frisbee      
51,   catching or throwing softball      
52,   celebrating      
53,   changing oil      
54,   changing wheel      
55,   checking tires      
56,   cheerleading      
57,   chopping wood      
58,   clapping      
59,   clay pottery making      
60,   clean and jerk      
61,   cleaning floor      
62,   cleaning gutters      
63,   cleaning pool      
64,   cleaning shoes      
65,   cleaning toilet      
66,   cleaning windows      
67,   climbing a rope      
68,   climbing ladder      
69,   climbing tree      
70,   contact juggling      
71,   cooking chicken      
72,   cooking egg      
73,   cooking on campfire      
74,   cooking sausages      
75,   counting money      
76,   country line dancing      
77,   cracking neck      
78,   crawling baby      
79,   crossing river      
80,   crying      
81,   curling hair      
82,   cutting nails      
83,   cutting pineapple      
84,   cutting watermelon      
85,   dancing ballet      
86,   dancing charleston      
87,   dancing gangnam style      
88,   dancing macarena      
89,   deadlifting      
90,   decorating the christmas tree      
91,   digging      
92,   dining      
93,   disc golfing      
94,   diving cliff      
95,   dodgeball      
96,   doing aerobics      
97,   doing laundry      
98,   doing nails      
99,   drawing      
100,   dribbling basketball      
101,   drinking      
102,   drinking beer      
103,   drinking shots      
104,   driving car      
105,   driving tractor      
106,   drop kicking      
107,   drumming fingers      
108,   dunking basketball      
109,   dying hair      
110,   eating burger      
111,   eating cake      
112,   eating carrots      
113,   eating chips      
114,   eating doughnuts      
115,   eating hotdog      
116,   eating ice cream      
117,   eating spaghetti      
118,   eating watermelon      
119,   egg hunting      
120,   exercising arm      
121,   exercising with an exercise ball      
122,   extinguishing fire      
123,   faceplanting      
124,   feeding birds      
125,   feeding fish      
126,   feeding goats      
127,   filling eyebrows      
128,   finger snapping      
129,   fixing hair      
130,   flipping pancake      
131,   flying kite      
132,   folding clothes      
133,   folding napkins      
134,   folding paper      
135,   front raises      
136,   frying vegetables      
137,   garbage collecting      
138,   gargling      
139,   getting a haircut      
140,   getting a tattoo      
141,   giving or receiving award      
142,   golf chipping      
143,   golf driving      
144,   golf putting      
145,   grinding meat      
146,   grooming dog      
147,   grooming horse      
148,   gymnastics tumbling      
149,   hammer throw      
150,   headbanging      
151,   headbutting      
152,   high jump      
153,   high kick      
154,   hitting baseball      
155,   hockey stop      
156,   holding snake      
157,   hopscotch      
158,   hoverboarding      
159,   hugging      
160,   hula hooping      
161,   hurdling      
162,   hurling (sport)      
163,   ice climbing      
164,   ice fishing      
165,   ice skating      
166,   ironing      
167,   javelin throw      
168,   jetskiing      
169,   jogging      
170,   juggling balls      
171,   juggling fire      
172,   juggling soccer ball      
173,   jumping into pool      
174,   jumpstyle dancing      
175,   kicking field goal      
176,   kicking soccer ball      
177,   kissing      
178,   kitesurfing      
179,   knitting      
180,   krumping      
181,   laughing      
182,   laying bricks      
183,   long jump      
184,   lunge      
185,   making a cake      
186,   making a sandwich      
187,   making bed      
188,   making jewelry      
189,   making pizza      
190,   making snowman      
191,   making sushi      
192,   making tea      
193,   marching      
194,   massaging back      
195,   massaging feet      
196,   massaging legs      
197,   massaging person s head      
198,   milking cow      
199,   mopping floor      
200,   motorcycling      
201,   moving furniture      
202,   mowing lawn      
203,   news anchoring      
204,   opening bottle      
205,   opening present      
206,   paragliding      
207,   parasailing      
208,   parkour      
209,   passing American football (in game)      
210,   passing American football (not in game)      
211,   peeling apples      
212,   peeling potatoes      
213,   petting animal (not cat)      
214,   petting cat      
215,   picking fruit      
216,   planting trees      
217,   plastering      
218,   playing accordion      
219,   playing badminton      
220,   playing bagpipes      
221,   playing basketball      
222,   playing bass guitar      
223,   playing cards      
224,   playing cello      
225,   playing chess      
226,   playing clarinet      
227,   playing controller      
228,   playing cricket      
229,   playing cymbals      
230,   playing didgeridoo      
231,   playing drums      
232,   playing flute      
233,   playing guitar      
234,   playing harmonica      
235,   playing harp      
236,   playing ice hockey      
237,   playing keyboard      
238,   playing kickball      
239,   playing monopoly      
240,   playing organ      
241,   playing paintball      
242,   playing piano      
243,   playing poker      
244,   playing recorder      
245,   playing saxophone      
246,   playing squash or racquetball      
247,   playing tennis      
248,   playing trombone      
249,   playing trumpet      
250,   playing ukulele      
251,   playing violin      
252,   playing volleyball      
253,   playing xylophone      
254,   pole vault      
255,   presenting weather forecast      
256,   pull ups      
257,   pumping fist      
258,   pumping gas      
259,   punching bag      
260,   punching person (boxing)      
261,   push up      
262,   pushing car      
263,   pushing wheelchair      
264,   reading book      
265,   reading newspaper      
266,   recording music      
267,   riding a bike      
268,   riding camel      
269,   riding elephant      
270,   riding mechanical bull      
271,   riding mountain bike      
272,   riding mule      
273,   riding or walking with horse      
274,   riding scooter      
275,   riding unicycle      
276,   ripping paper      
277,   robot dancing      
278,   rock climbing      
279,   rock scissors paper      
280,   roller skating      
281,   running on treadmill      
282,   sailing      
283,   salsa dancing      
284,   sanding floor      
285,   scrambling eggs      
286,   scuba diving      
287,   setting table      
288,   shaking hands      
289,   shaking head      
290,   sharpening knives      
291,   sharpening pencil      
292,   shaving head      
293,   shaving legs      
294,   shearing sheep      
295,   shining shoes      
296,   shooting basketball      
297,   shooting goal (soccer)      
298,   shot put      
299,   shoveling snow      
300,   shredding paper      
301,   shuffling cards      
302,   side kick      
303,   sign language interpreting      
304,   singing      
305,   situp      
306,   skateboarding      
307,   ski jumping      
308,   skiing (not slalom or crosscountry)      
309,   skiing crosscountry      
310,   skiing slalom      
311,   skipping rope      
312,   skydiving      
313,   slacklining      
314,   slapping      
315,   sled dog racing      
316,   smoking      
317,   smoking hookah      
318,   snatch weight lifting      
319,   sneezing      
320,   sniffing      
321,   snorkeling      
322,   snowboarding      
323,   snowmobiling      
324,   somersaulting      
325,   spinning poi      
326,   spray painting      
327,   spraying      
328,   springboard diving      
329,   squat      
330,   sticking tongue out      
331,   stomping grapes      
332,   stretching arm      
333,   stretching leg      
334,   strumming guitar      
335,   surfing crowd      
336,   surfing water      
337,   sweeping floor      
338,   swimming backstroke      
339,   swimming breast stroke      
340,   swimming butterfly stroke      
341,   swing dancing      
342,   swinging legs      
343,   swinging on something      
344,   sword fighting      
345,   tai chi      
346,   taking a shower      
347,   tango dancing      
348,   tap dancing      
349,   tapping guitar      
350,   tapping pen      
351,   tasting beer      
352,   tasting food      
353,   testifying      
354,   texting      
355,   throwing axe      
356,   throwing ball      
357,   throwing discus      
358,   tickling      
359,   tobogganing      
360,   tossing coin      
361,   tossing salad      
362,   training dog      
363,   trapezing      
364,   trimming or shaving beard      
365,   trimming trees      
366,   triple jump      
367,   tying bow tie      
368,   tying knot (not on a tie)      
369,   tying tie      
370,   unboxing      
371,   unloading truck      
372,   using computer      
373,   using remote controller (not gaming)      
374,   using segway      
375,   vault      
376,   waiting in line      
377,   walking the dog      
378,   washing dishes      
379,   washing feet      
380,   washing hair      
381,   washing hands      
382,   water skiing      
383,   water sliding      
384,   watering plants      
385,   waxing back      
386,   waxing chest      
387,   waxing eyebrows      
388,   waxing legs      
389,   weaving basket      
390,   welding      
391,   whistling      
392,   windsurfing      
393,   wrapping present      
394,   wrestling      
395,   writing      
396,   yawning      
397,   yoga      
398,   zumba      
399,pushing cart
400,snowkiting
